"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"SOCM","Hilgen, Terry","60-64","1:10.09","10/6","1:08.41","20","0"
"NBM","Pegues, Lex","60-64","1:10.64","10/3","1:08.51","21","0"
"RIDG","Meek, Greg","65-69","1:05.43","8/8","1:08.56","13","0"
"XCL","Semilof, Brandon","50-54","1:06.20","18/3","1:08.57","21","0"
"NBM","Michell, Jan","60-64","1:04.66","11/6","1:08.58","22","0"
"AMAC","Hartman, Robert","45-49","1:07.66","21/6","1:08.89","32","0"
"RGSC","Foote, Michael","50-54","1:07.00","18/1","1:08.93","22","0"
"CTS","Beatty, Paul","45-49","1:07.79","21/4","1:09.02","33","0"
"LAPS","Powell, Steven","55-59","1:06.77","14/5","1:09.03","26","0"
"LSM","Harman, Brad","55-59","1:09.00","14/10","1:09.29","27","0"
"LSM","Kelsoe, Robert","70-74","1:07.92","5/4","1:09.46","2","9"
"WISC","Wu, Bobby","50-54","1:10.24","17/2","1:09.46","23","0"
"ROSE","Coultas, Tom","70-74","1:14.50","5/8","1:09.51","3","8"
"FCST","Wong, Chun","50-54","1:07.00","18/2","1:09.62","24","0"
"SFTL","Heck, Steven","75-79","1:09.80","3/4","1:09.67","1","11"
"UC41","Buelt, Abraham","35-39","1:02.68","30/1","1:09.73","24","0"
"LRM","Means, Jaquintin","30-34","1:10.00","32/10","1:10.02","40","0"
"SKY","Hill, Steven","65-69","1:11.00","7/8","1:10.14","14","0"
"CWTWN","Ische, Ryan","30-34","1:13.70","17/9","1:10.19","41","0"
"SHARK","Childs, Lee","75-79","1:12.50","3/3","1:10.40","2","9"
"O2","Schiemann, Steven","60-64","1:10.90","10/8","1:10.56","23","0"
"PSM","Frappia, Robert","60-64","1:08.98","11/10","1:11.00","24","0"
"GAJA","Stille, Mike","65-69","1:09.56","7/4","1:11.03","15","0"
"SDMST","Belnap, Mark","55-59","1:08.58","14/9","1:11.42","28","0"
"UC16","Lopez, Abel","45-49","1:08.00","21/7","1:11.46","34","0"
"MICH","Melgar, Thomas","60-64","1:12.83","9/5","1:11.49","25","0"
"NMMS","Smith, Mark","60-64","1:15.34","9/2","1:11.67","26","0"
"TTEX","Daugherty, Anthony","55-59","1:10.24","13/4","1:11.69","29","0"
"LSM","Duong, William","35-39","1:06.56","29/8","1:11.74","25","0"
"AAAA","Fuselier, Stephen","65-69","1:10.92","7/3","1:11.79","16","0"
"IM","Johnson, George","60-64","1:11.24","10/2","1:11.80","27","0"
"NASH","Krekel, Peter","60-64","1:10.29","10/4","1:11.93","28","0"
"L4S","Baker, Patrick","50-54","1:14.38","17/6","1:12.13","25","0"
"UC43","Jones, Chet","45-49","1:16.23","21/2","1:12.27","35","0"
"NYAC","Goldberg, Brian","45-49","1:12.00","21/8","1:12.28","36","0"
"TCCMS","Hercher, Heinz","65-69","1:17.00","6/2","1:12.77","17","0"
"LSM","McCain, Keith","55-59","1:12.41","13/3","1:12.91","30","0"
"NAM","Fisher, Dennis","65-69","1:13.50","7/9","1:12.99","18","0"
"MOST","Hammen, Douglas","60-64","1:13.43","9/6","1:13.16","29","0"
"FWYS","Elizondo, Bill","55-59","1:09.27","13/6","1:13.24","31","0"
"LAPS","Heyes, Greg","70-74","1:20.00","4/3","1:13.29","4","7"
"LOCO","Byrd, Ted","65-69","1:14.33","6/5","1:13.33","19","0"
"EXMS","Scala, Peter","60-64","1:13.66","9/4","1:13.40","30","0"
"LAPS","Magner, Jerry","60-64","1:16.85","9/9","1:13.56","31","0"
"UC26","Vale, Michael","55-59","1:30.00","4/10","1:13.57","32","0"
"MINN","Evers, John","70-74","1:13.93","5/3","1:13.74","5","6"
"OHAAC","Soboslay, Stephen","18-24","1:17.18","41/1","1:13.90","26","0"
"MINN","Caldwell, Ryan","30-34","1:15.00","17/7","1:13.96","42","0"
"TXLA","Johnson, Dirk","55-59","1:12.00","13/7","1:13.96","33","0"
"AMAC","Thompson, Marcus","50-54","1:15.00","17/1","1:14.74","26","0"
"GTX","Cabrera, Jesus","35-39","1:20.00","29/9","1:14.80","26","0"
"GAJA","Balkus, Larry","55-59","1:14.60","13/8","1:14.83","34","0"
"NAM","Tarnapoll, Pete","65-69","1:11.11","7/2","1:14.91","20","0"
"LSM","Daudelin, Andy","60-64","1:14.25","9/7","1:14.92","32","0"
"WISC","Fochios, Dean","70-74","1:15.00","5/9","1:14.97","6","5"
"TTEX","Ravel, Rick","70-74","1:16.81","5/10","1:15.02","7","4"
"MINN","Perry, Mitch","60-64","1:14.80","9/8","1:15.03","33","0"
"NICK","Lane, Timothy","30-34","1:10.30","29/10","1:15.14","43","0"
"SHARK","Voisard, Brian","70-74","1:14.82","5/2","1:15.20","8","3"
"TXLA","Viedma, Gerardo","40-44","1:25.00","17/10","1:15.93","33","0"
"IM","Uecke, Alan","70-74","1:13.50","5/7","1:16.02","9","2"
"TW","Marchi, Glenn","65-69","1:15.33","6/3","1:16.11","21","0"
"SFTL","Richards, Mark","65-69","1:13.52","7/1","1:16.35","22","0"
"NBM","Hubbard, Russell","60-64","1:11.37","10/9","1:16.48","34","0"
"SKY","Maki, Steve","55-59","1:09.00","13/5","1:17.22","35","0"
"CONN","Ahrens, Miles","70-74","1:18.00","4/6","1:17.45","10","1"
"XCL","Cataldo, Keith","60-64","1:14.58","9/3","1:17.97","35","0"
"RIDG","Burr, Chuck","65-69","1:15.03","6/4","1:18.16","23","0"
"PBM","Mcpherrin, Kevin","75-79","1:18.71","3/2","1:18.25","3","8"
"SSC","Puckett, Edmond","55-59","1:16.40","13/2","1:18.48","36","0"
"TAM","Burns, Richard","80-84","1:18.90","2/5","1:18.81","1","11"
"TOC","Keck, Mike","65-69","1:14.00","7/10","1:19.16","24","0"
"UC32","Donahoo, Don","70-74","1:16.31","5/1","1:19.69","11","0"
"SHARK","Couch, Bob","75-79","1:18.50","3/5","1:20.59","4","7"
"SACMA","Shevlin, Jeff","70-74","1:22.00","4/2","1:20.81","12","0"
"LAPS","Raine, Charlie","65-69","1:20.00","6/9","1:20.89","25","0"
"IM","Miller, Michael","65-69","1:22.39","6/10","1:21.00","26","0"
"MACA","Harrington, Patrick","70-74","1:18.09","4/4","1:21.10","13","0"
"XCL","O'Donoghue, Michael","70-74","1:18.00","4/5","1:21.18","14","0"
"MOST","Meishar, Nim","55-59","1:23.00","13/1","1:22.70","37","0"
"ENSW","Donaldson, Shawn","45-49","1:35.00","21/10","1:23.62","37","0"
"SFTL","Gaw, Mike","55-59","1:16.81","13/9","1:24.58","38","0"
"UC27","Murray, David","60-64","1:30.00","9/1","1:24.61","36","0"
"MARY","Iliff, Jack","80-84","1:26.00","2/4","1:25.26","2","9"
"TOC","Elder, James","80-84","1:30.00","2/7","1:25.40","3","8"
"NYAC","Wallace, Edward","75-79","1:20.51","3/6","1:26.88","5","6"
"LSM","Darrow, Larry","70-74","1:25.56","4/1","1:28.81","15","0"
"SLAM","Scheuermann, Jerome","55-59","1:29.67","13/10","1:31.52","39","0"
"NAM","Sutter, John","60-64","1:11.53","10/10","1:31.75","37","0"
"MINN","Bovard, Ralph","70-74","1:24.55","4/9","1:32.04","16","0"
"MHSM","Atchison, John","65-69","1:20.00","6/1","1:34.15","27","0"
"MOST","Krueger, P","75-79","1:29.77","3/1","1:34.95","6","5"
"MESC","Cooke, Andrew","80-84","1:34.00","2/8","1:36.62","4","7"
"LSM","Welty, Bob","80-84","1:32.00","2/3","1:36.67","5","6"
"TOC","Van Horn, William","85-89","1:35.80","1/4","1:39.69","1","11"
"ASC","Floyd, Rob","65-69","1:40.24","3/7","1:41.40","28","0"
"IM","Smith, Dave","80-84","1:48.55","2/2","1:41.95","6","5"
"MINN","Solberg, Norman","85-89","1:47.50","1/5","1:43.06","2","9"
"ASC","Berbel, Jose","55-59","1:44.51","3/9","1:47.53","40","0"
"IM","Schein, Howard","80-84","1:49.01","2/9","1:56.57","7","4"
"LVM","Chalkley, James","60-64","2:06.69","9/10","2:03.62","38","0"
"NOVA","Smethurst, Everett","90-94","2:11.36","1/6","2:08.05","1","11"
"LSM","Pipkin, Ken","80-84","1:55.00","2/1","2:12.44","8","3"
"SLAM","Good, Larry","90-94","2:18.21","1/7","2:20.33","2","9"
"LSM","Thatcher, Sandy","80-84","2:02.23","2/10","2:23.68","9","2"
"O*H*","Learmonth, William","85-89","2:04.14","1/3","2:26.11","3","8"
"HIMA","Abbott, Rick","70-74","1:06.01","5/6","DQ","","0"
"RMRM","Pedelty, Jeffrey","65-69","1:15.15","6/7","DQ","","0"
"LGSR","Cottingham, John","65-69","1:15.33","6/8","DQ","","0"
"RGSC","Cubillas, Alberto","45-49","1:25.00","21/1","DQ","","0"
"RGSC","Pinal, George","50-54","1:02.00","19/8","DQ","","0"
"ASC","Vogel, Matthew","70-74","1:21.13","4/8","DQ","","0"
"RMRM","Abrahams, Richard","80-84","1:22.00","2/6","NS","","0"
"IM","Beard, Marc","40-44","1:06.94","25/8","NS","","0"
"NAM","Birnbrich, Andrew","35-39","58.25","31/1","NS","","0"
"NYAC","Blaze, Cliff","50-54","1:02.55","19/2","NS","","0"
"IM","Brown, Adam","40-44","1:04.00","26/1","NS","","0"
"TXLA","Burns, Bill","70-74","1:19.79","4/7","NS","","0"
"PSCM","Courtney, Chris","50-54","1:05.55","18/7","NS","","0"
"SHARK","Deery, Kyle","40-44","58.43","28/10","NS","","0"
"SDSM","Duke, Brian","50-54","1:06.20","18/8","NS","","0"
"NCMS","Dunson, David","50-54","57.75","20/3","NS","","0"
"DADS","Escalante, Rodolfo","35-39","1:00.00","30/6","NS","","0"
"LSM","Fike, James","40-44","49.61","28/5","NS","","0"
"CWTWN","Fuller, Christopher","30-34","1:11.11","17/8","NS","","0"
"SDSM","Gering, Kurt","55-59","1:07.45","14/8","NS","","0"
"LSM","Glass, Mark","50-54","1:09.83","17/3","NS","","0"
"TERR","Goodison, Michael","50-54","1:01.22","19/7","NS","","0"
