"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"DYNA","Adams, Joshua","50-54","1:00.02","20/10","58.87","7","4"
"LOCOM","Whitford, Matthew","45-49","1:01.54","23/1","58.89","11","0"
"UC25","O'Mara, Liam","18-24","1:02.14","41/5","58.96","16","0"
"CAMS","Patino, Richard","55-59","59.12","16/6","59.03","2","9"
"REDT","Yang, Nicholas","25-29","1:00.08","37/2","59.13","30","0"
"RMRM","Saum, Brett","45-49","1:00.62","23/3","59.17","12","0"
"TXLA","Connolly, James","55-59","1:02.00","16/8","59.18","3","8"
"DSMY","Lucht, Tyler","45-49","59.20","24/1","59.25","13","0"
"TXLA","Wendt, Joseph","18-24","1:01.00","42/9","59.28","17","0"
"WMST","Armstrong, Jonathan","45-49","59.49","23/5","59.40","14","0"
"RMRM","Hubenthal, Nathaniel","25-29","1:00.94","36/5","59.55","31","0"
"RMRM","Gassen, Gregory","25-29","59.84","37/8","59.61","32","0"
"DSMY","Qualley, Cornelius","40-44","59.69","27/4","59.74","9","2"
"TNYA","Heath, Ryan","40-44","1:01.56","27/1","59.78","10","1"
"NAM","Birnbrich, Luke","25-29","58.80","37/4","59.79","33","0"
"ROSE","Ecklund, Tait","40-44","58.99","27/5","59.79","11","0"
"UC43","Buckingham, Cam","35-39","1:00.31","30/4","59.87","12","0"
"FCST","Pulskamp, Benjamin","40-44","1:01.15","27/2","1:00.03","12","0"
"AAMAH","Francois, John","25-29","1:00.08","37/9","1:00.09","34","0"
"WISC","Bell, Bryan","45-49","1:00.78","23/8","1:00.12","15","0"
"TXLA","Dominguez, Rogelio","40-44","1:02.57","26/3","1:00.12","13","0"
"MICH","Larkins, Justin","25-29","1:03.00","36/8","1:00.13","35","0"
"MICH","Kutschke, John","25-29","1:00.55","37/1","1:00.20","36","0"
"TXLA","Breazeale, Nathan","60-64","1:00.11","12/7","1:00.21","3","8"
"JMMS","Montgomery, Beau","30-34","58.00","33/4","1:00.25","30","0"
"YM","Horowitz, Thomas","25-29","1:01.41","36/4","1:00.50","37","0"
"NYAC","Tully, Brendan","45-49","1:00.00","23/7","1:00.54","16","0"
"NMMS","Contreras, Bonifacio","35-39","1:04.00","29/6","1:00.59","13","0"
"SDMST","Buys, Michael","45-49","1:04.81","22/8","1:00.66","17","0"
"URI","Capen, Zachary","18-24","1:00.89","42/2","1:00.71","18","0"
"MINN","Hingtgen, Zach","25-29","1:00.63","37/10","1:00.84","38","0"
"SLAM","McKee, Kevin","35-39","1:03.00","30/10","1:00.85","14","0"
"1693","Rockwell, John","50-54","1:00.59","19/6","1:00.85","8","3"
"YM","Fischer, Christopher","25-29","59.46","37/3","1:00.86","39","0"
"NITR","Castillo, Oscar","30-34","1:00.00","33/1","1:00.91","31","0"
"URI","Hambly, Parker","18-24","1:01.20","42/1","1:00.91","19","0"
"SFTL","Tiozzo, Eduard","50-54","1:00.16","19/5","1:00.94","9","2"
"IM","Fisher, Nathan","35-39","1:01.35","30/3","1:00.98","15","0"
"RMRM","Lenneman, Tim","60-64","1:00.72","12/3","1:00.98","4","7"
"CAMS","Moeshlin, Brent","45-49","59.28","24/10","1:01.02","18","0"
"MINN","Nimke, Scott","25-29","57.70","38/1","1:01.02","40","0"
"UC43","Carlisle, Joseph","25-29","56.22","38/5","1:01.09","41","0"
"RMRM","Mosteller, Douglas","55-59","1:04.15","15/4","1:01.09","4","7"
"VCM","Nicoloso, Jeremiah","25-29","1:01.89","36/7","1:01.25","42","0"
"LSM","Bambach, Alberto","30-34","1:00.50","33/10","1:01.31","32","0"
"ASC","Crouch, Chandler","30-34","1:02.89","32/3","1:01.36","33","0"
"AAMAH","Richardson, Ty","50-54","1:02.86","19/9","1:01.38","10","1"
"ARIZ","Nichols, Kory","45-49","1:02.34","22/6","1:01.39","19","0"
"PAMS","Stackle, Kirk","55-59","1:02.00","16/9","1:01.39","5","6"
"HSAM","Tran, Anhton","30-34","1:00.99","32/6","1:01.47","34","0"
"BTAC","Williams, Eric","40-44","1:03.31","26/2","1:01.51","14","0"
"IM","Schoentag, Brad","55-59","1:02.00","16/2","1:01.66","6","5"
"MVM","Wang, Timothy","30-34","1:01.93","32/7","1:01.78","35","0"
"AMS","Hughey, Richard","60-64","59.10","12/6","1:01.81","5","6"
"NYAC","Frawley, Robert","35-39","1:01.91","30/8","1:01.82","16","0"
"SMS","Fejka, Erik","45-49","1:01.50","23/9","1:01.98","20","0"
"MICH","Pittel, Adam","40-44","1:02.02","26/7","1:02.18","15","0"
"FAFC","Allums Jr, Bobby","18-24","1:07.27","41/3","1:02.22","20","0"
"IM","Espino, Rudy","55-59","1:04.00","15/6","1:02.23","7","4"
"TFAM","Jackson, Scott","50-54","1:03.02","19/1","1:02.24","11","0"
"PBM","Bradchulis, Derek","45-49","1:02.42","22/4","1:02.25","21","0"
"LSM","Van Dyke, Rick","60-64","1:01.80","12/8","1:02.28","6","5"
"RICE","Jimmison, Tyrone","40-44","1:01.85","26/5","1:02.32","16","0"
"UBCM","Hooper, James","50-54","1:00.00","20/1","1:02.38","12","0"
"NCMS","Mcpeters, Eric","35-39","1:03.53","29/5","1:02.38","17","0"
"NCMS","Havens, Kurt","40-44","1:01.17","27/9","1:02.39","17","0"
"SDSM","Amer, Nader","35-39","1:07.33","29/2","1:02.45","18","0"
"LSM","Alvarez, Camilo","18-24","1:02.00","42/10","1:02.47","21","0"
"MMAC","Steinfeld, Mikel","40-44","1:03.71","26/9","1:02.53","18","0"
"ROCKR","Jenkins, Curtis","55-59","1:01.39","16/3","1:02.57","8","3"
"UC26","Osada, Akihiko","35-39","1:02.68","30/9","1:02.57","19","0"
"AWYY","Ford, Torrence","40-44","1:01.99","26/6","1:02.69","19","0"
"ASC","Pfluger, Dustin","40-44","1:00.85","27/8","1:02.70","20","0"
"ROCKR","Stassi, Michael","55-59","1:01.13","16/7","1:02.77","9","2"
"MLAC","Chiappetta, Michael","50-54","1:00.99","19/4","1:02.78","13","0"
"AGUA","Romano, Kola","55-59","1:04.50","15/3","1:02.86","10","1"
"LASH","Oxley, Gregory","65-69","1:03.71","8/4","1:02.88","1","11"
"NAM","McHale, Brian","55-59","1:02.42","16/1","1:02.99","11","0"
"PSM","Stender, Shane","45-49","1:03.53","22/7","1:03.01","22","0"
"WMST","Davis, Ross","55-59","1:04.88","15/8","1:03.04","12","0"
"TXLA","Langley, Matthew","50-54","1:04.48","18/5","1:03.07","14","0"
"SSC","Olszeski, Aaron","35-39","1:04.48","29/7","1:03.15","20","0"
"NCMS","Hilgen, Thomas","60-64","1:04.00","12/1","1:03.29","7","4"
"BTAC","Brammer, Chris","40-44","1:01.99","26/4","1:03.31","21","0"
